Year,Region,Household Type,Measure,Value,Flags
"1998","Total Regions","Couple only","Median Wage and Salary Income",577,
"1999","Total Regions","Couple only","Median Wage and Salary Income",604,
"2000","Total Regions","Couple only","Median Wage and Salary Income",617,
"2001","Total Regions","Couple only","Median Wage and Salary Income",684,
"2002","Total Regions","Couple only","Median Wage and Salary Income",710,
"2003","Total Regions","Couple only","Median Wage and Salary Income",750,
"2004","Total Regions","Couple only","Median Wage and Salary Income",790,
"2005","Total Regions","Couple only","Median Wage and Salary Income",896,
"2006","Total Regions","Couple only","Median Wage and Salary Income",912,
"2007","Total Regions","Couple only","Median Wage and Salary Income",1031,
"2008","Total Regions","Couple only","Median Wage and Salary Income",1028,
"2009","Total Regions","Couple only","Median Wage and Salary Income",1089,
"2010","Total Regions","Couple only","Median Wage and Salary Income",1150,
"2011","Total Regions","Couple only","Median Wage and Salary Income",1194,
"2012","Total Regions","Couple only","Median Wage and Salary Income",1162,
"2013","Total Regions","Couple only","Median Wage and Salary Income",1240,
"2014","Total Regions","Couple only","Median Wage and Salary Income",1343,
"2015","Total Regions","Couple only","Median Wage and Salary Income",1415,
"2016","Total Regions","Couple only","Median Wage and Salary Income",1356,
"2017","Total Regions","Couple only","Median Wage and Salary Income",1438,
"2018","Total Regions","Couple only","Median Wage and Salary Income",1527,
"1998","Total Regions","Couple only","Median Self-employment Income",0,
"1999","Total Regions","Couple only","Median Self-employment Income",0,
"2000","Total Regions","Couple only","Median Self-employment Income",0,
"2001","Total Regions","Couple only","Median Self-employment Income",0,
"2002","Total Regions","Couple only","Median Self-employment Income",0,
"2003","Total Regions","Couple only","Median Self-employment Income",0,
"2004","Total Regions","Couple only","Median Self-employment Income",0,
"2005","Total Regions","Couple only","Median Self-employment Income",0,
"2006","Total Regions","Couple only","Median Self-employment Income",0,
"2007","Total Regions","Couple only","Median Self-employment Income",0,
"2008","Total Regions","Couple only","Median Self-employment Income",0,
"2009","Total Regions","Couple only","Median Self-employment Income",0,
"2010","Total Regions","Couple only","Median Self-employment Income",0,
"2011","Total Regions","Couple only","Median Self-employment Income",0,
"2012","Total Regions","Couple only","Median Self-employment Income",0,
"2013","Total Regions","Couple only","Median Self-employment Income",0,
"2014","Total Regions","Couple only","Median Self-employment Income",0,
"2015","Total Regions","Couple only","Median Self-employment Income",0,
"2016","Total Regions","Couple only","Median Self-employment Income",0,
"2017","Total Regions","Couple only","Median Self-employment Income",0,
"2018","Total Regions","Couple only","Median Self-employment Income",0,
"1998","Total Regions","Couple only","Median Government Transfer Income",0,
"1999","Total Regions","Couple only","Median Government Transfer Income",0,
"2000","Total Regions","Couple only","Median Government Transfer Income",0,
"2001","Total Regions","Couple only","Median Government Transfer Income",0,
"2002","Total Regions","Couple only","Median Government Transfer Income",0,
"2003","Total Regions","Couple only","Median Government Transfer Income",0,
"2004","Total Regions","Couple only","Median Government Transfer Income",0,
"2005","Total Regions","Couple only","Median Government Transfer Income",0,
"2006","Total Regions","Couple only","Median Government Transfer Income",0,
"2007","Total Regions","Couple only","Median Government Transfer Income",0,
"2008","Total Regions","Couple only","Median Government Transfer Income",0,
"2009","Total Regions","Couple only","Median Government Transfer Income",0,
"2010","Total Regions","Couple only","Median Government Transfer Income",0,
"2011","Total Regions","Couple only","Median Government Transfer Income",0,
"2012","Total Regions","Couple only","Median Government Transfer Income",0,
"2013","Total Regions","Couple only","Median Government Transfer Income",0,
"2014","Total Regions","Couple only","Median Government Transfer Income",0,
"2015","Total Regions","Couple only","Median Government Transfer Income",0,
"2016","Total Regions","Couple only","Median Government Transfer Income",0,
"2017","Total Regions","Couple only","Median Government Transfer Income",0,
"2018","Total Regions","Couple only","Median Government Transfer Income",0,
"1998","Total Regions","Couple only","Number of households (000)",291.4,
"1999","Total Regions","Couple only","Number of households (000)",294.1,
"2000","Total Regions","Couple only","Number of households (000)",303.1,
"2001","Total Regions","Couple only","Number of households (000)",310.1,
"2002","Total Regions","Couple only","Number of households (000)",306.5,
"2003","Total Regions","Couple only","Number of households (000)",316.1,
"2004","Total Regions","Couple only","Number of households (000)",324,
"2005","Total Regions","Couple only","Number of households (000)",332.1,
"2006","Total Regions","Couple only","Number of households (000)",333.1,
"2007","Total Regions","Couple only","Number of households (000)",342.3,
"2008","Total Regions","Couple only","Number of households (000)",345.9,
"2009","Total Regions","Couple only","Number of households (000)",342.1,
"2010","Total Regions","Couple only","Number of households (000)",341.7,
"2011","Total Regions","Couple only","Number of households (000)",329,
"2012","Total Regions","Couple only","Number of households (000)",328.6,
"2013","Total Regions","Couple only","Number of households (000)",340.1,
"2014","Total Regions","Couple only","Number of households (000)",331.9,
"2015","Total Regions","Couple only","Number of households (000)",336.4,
"2016","Total Regions","Couple only","Number of households (000)",330.6,
"2017","Total Regions","Couple only","Number of households (000)",335.3,
"2018","Total Regions","Couple only","Number of households (000)",339,
"1998","Northland Region","Couple only","Median Wage and Salary Income",0,
"1999","Northland Region","Couple only","Median Wage and Salary Income",43,
"2000","Northland Region","Couple only","Median Wage and Salary Income",432,
"2001","Northland Region","Couple only","Median Wage and Salary Income",420,
"2002","Northland Region","Couple only","Median Wage and Salary Income",510,
"2003","Northland Region","Couple only","Median Wage and Salary Income",455,
"2004","Northland Region","Couple only","Median Wage and Salary Income",518,
"2005","Northland Region","Couple only","Median Wage and Salary Income",607,
